Street,City,County,State,Zipcode,Price,WalkScore,Bike_Score,Beds,Bath,Sqft,Property_Type,Year_Built,Status
154 prentiss st,San francisco,San-Francisco,Ca,94110,1895000.0,0.0,0.0,3.0,2.0,2105.0,Single family residential,1909.0,Active
851 van ness ave #400,San francisco,San-Francisco,Ca,94109,935000.0,99.0,88.0,2.0,2.0,1247.0,Condo,2002.0,Active
301 main st unit 21a,San francisco,San-Francisco,Ca,94105,1525000.0,95.0,80.0,2.0,2.0,1163.0,Condo,2008.0,Active
14 parsons st,San francisco,San-Francisco,Ca,94118,2496000.0,0.0,0.0,6.0,2.0,2800.0,Single family residential,1906.0,Active
112 yukon st,San francisco,San-Francisco,Ca,94114,1995000.0,86.0,67.0,3.0,3.0,1859.0,Single family residential,1941.0,Active
3521 webster st,San francisco,San-Francisco,Ca,94123,2349000.0,0.0,0.0,3.0,1.5,2070.0,Single family residential,1932.0,Active
2717 union st,San francisco,San-Francisco,Ca,94123,2798000.0,0.0,0.0,2.0,2.0,1551.0,Condo,1925.0,Active
1 stanyan st #21,San francisco,San-Francisco,Ca,94118,1385000.0,92.0,79.0,2.0,2.0,1230.0,Condo,2018.0,Active
2170 harrison st #7,San francisco,San-Francisco,Ca,94110,959000.0,97.0,100.0,1.0,1.5,1044.0,Condo,1997.0,Active
255 berry st #506,San francisco,San-Francisco,Ca,94158,1345000.0,88.0,93.0,2.0,2.0,1293.0,Condo,2004.0,Active
1503 mckinnon ave,San francisco,San-Francisco,Ca,94124,839000.0,90.0,58.0,2.0,1.0,1125.0,Single family residential,1929.0,Active
2443 23rd ave,San francisco,San-Francisco,Ca,94116,2349000.0,91.0,62.0,4.0,4.0,2003.0,Single family residential,1924.0,Active
718 long bridge st #1404,San francisco,San-Francisco,Ca,94158,2175000.0,82.0,93.0,2.0,2.0,1473.0,Condo,2016.0,Active
647 cole st,San francisco,San-Francisco,Ca,94117,1895000.0,0.0,0.0,3.0,1.5,1844.0,Condo,1904.0,Active
64 rosemont pl,San francisco,San-Francisco,Ca,94103,1595000.0,98.0,88.0,2.0,1.5,1438.0,Condo,1928.0,Active
949 fell st #3,San francisco,San-Francisco,Ca,94117,1175000.0,0.0,0.0,3.0,3.0,1188.0,Condo,1909.0,Active
1667 turk st,San francisco,San-Francisco,Ca,94115,1899000.0,96.0,77.0,3.0,3.0,2061.0,Condo,1994.0,Active
201 harrison st #720,San francisco,San-Francisco,Ca,94105,875000.0,0.0,0.0,2.0,2.0,797.0,Condo,1991.0,Active
342 hayes st unit h,San francisco,San-Francisco,Ca,94102,949000.0,100.0,99.0,1.0,1.5,804.0,Condo,1996.0,Active
1880 steiner st #404,San francisco,San-Francisco,Ca,94115,1499000.0,99.0,91.0,2.0,2.5,1569.0,Condo,1999.0,Active
1487 19th ave,San francisco,San-Francisco,Ca,94122,979000.0,89.0,60.0,3.0,1.0,1225.0,Single family residential,1922.0,Active
645 capp st,San francisco,San-Francisco,Ca,94110,2295000.0,0.0,0.0,3.0,3.0,2122.0,Single family residential,1879.0,Active
4 wright st,San francisco,San-Francisco,Ca,94110,949000.0,89.0,75.0,4.0,2.0,1475.0,Single family residential,1906.0,New
201 sansome st #804,San francisco,San-Francisco,Ca,94104,1475000.0,100.0,87.0,2.0,2.5,1541.0,Condo,1909.0,Active
890 37th ave,San francisco,San-Francisco,Ca,94121,1199000.0,75.0,71.0,2.0,1.0,1675.0,Single family residential,1924.0,Active
150 chenery st,San francisco,San-Francisco,Ca,94131,1895000.0,0.0,0.0,4.0,2.5,2144.0,Single family residential,1900.0,Active
733 castro st,San francisco,San-Francisco,Ca,94114,1999000.0,96.0,62.0,4.0,2.5,1804.0,Single family residential,1900.0,Active
112 putnam st,San francisco,San-Francisco,Ca,94110,2900000.0,0.0,0.0,4.0,3.0,3128.0,Single family residential,1923.0,New
731 avalon ave,San francisco,San-Francisco,Ca,94112,1138000.0,0.0,0.0,2.0,1.0,1144.0,Single family residential,1938.0,Active
430 - 432 girard st,San francisco,San-Francisco,Ca,94134,1259000.0,92.0,66.0,4.0,3.0,2555.0,Multi-family (2-4 unit),1975.0,Active
379 church st #301,San francisco,San-Francisco,Ca,94114,950000.0,99.0,98.0,2.0,2.0,789.0,Condo,1993.0,Active
194 shakespeare st,San francisco,San-Francisco,Ca,94112,1185000.0,79.0,41.0,3.0,2.0,1432.0,Single family residential,1964.0,New
267 mangels ave,San francisco,San-Francisco,Ca,94131,1995000.0,76.0,59.0,4.0,2.0,2360.0,Single family residential,1969.0,Active
865 hayes st unit b,San francisco,San-Francisco,Ca,94117,970000.0,0.0,0.0,2.0,1.0,1201.0,Condo,1900.0,Active
2701 van ness ave #210,San francisco,San-Francisco,Ca,94109,895000.0,99.0,84.0,1.0,1.0,981.0,Condo,1929.0,Active
1506 41st ave,San francisco,San-Francisco,Ca,94122,1195000.0,84.0,80.0,3.0,2.0,1464.0,Single family residential,1938.0,Active
